slug,locale,primary_text,headline_price,headline_place,description,cta,link
"atalaya-duplex-residences","sv","Fyrtio etagelägenheter och takvåningar intill Atalaya Golf, de flesta med egen pool, i ett grindat område med inomhuspool, spa, gym och padelbana.","Från 829 000 €","Lägenheter, Atalaya","Från,829 000 €","LEARN_MORE","https://nuevaliving.com/sv/property-atalaya-duplex-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sv-estepona&utm_content=atalaya-duplex-residences"
"azata-golf-townhouses","en","Eighty-seven finished three-bedroom townhouses beside Azata Golf, each with a private garage, in a gated scheme with two pools, a spa and a gym.","From €470,250","Estepona, Azata Golf","From,€470,250","LEARN_MORE","https://nuevaliving.com/property-azata-golf-townhouses.html?utm_source=meta&utm_medium=paid_social&utm_campaign=en-estepona&utm_content=azata-golf-townhouses"
"azata-golf-townhouses","es","Ochenta y siete adosados de tres dormitorios terminados junto a Azata Golf, cada uno con garaje privado, en un conjunto cerrado con dos piscinas, spa y gimnasio.","Desde 470.250 €","Estepona, Azata Golf","Desde,470.250 €","LEARN_MORE","https://nuevaliving.com/es/property-azata-golf-townhouses.html?utm_source=meta&utm_medium=paid_social&utm_campaign=es-estepona&utm_content=azata-golf-townhouses"
"azata-golf-townhouses","fr","Quatre-vingt-sept maisons de ville de trois chambres achevées au bord du golf d'Azata, chacune avec garage privé, dans une résidence fermée avec deux piscines, un spa et une salle de sport.","À partir de 470 250 €","Estepona, Azata Golf","À partir de,470 250 €","LEARN_MORE","https://nuevaliving.com/fr/property-azata-golf-townhouses.html?utm_source=meta&utm_medium=paid_social&utm_campaign=fr-estepona&utm_content=azata-golf-townhouses"
"azata-golf-townhouses","de","Siebenundachtzig fertiggestellte Reihenhäuser mit drei Schlafzimmern neben dem Golfplatz Azata, jedes mit privater Garage, in einer geschlossenen Anlage mit zwei Pools, Spa und Fitnessraum.","Ab 470.250 €","Estepona, Azata Golf","Ab,470.250 €","LEARN_MORE","https://nuevaliving.com/de/property-azata-golf-townhouses.html?utm_source=meta&utm_medium=paid_social&utm_campaign=de-estepona&utm_content=azata-golf-townhouses"
"azata-golf-townhouses","ru","Восемьдесят семь завершённых таунхаусов с тремя спальнями рядом с полем Azata Golf, каждый с частным гаражом, в закрытом комплексе с двумя бассейнами, спа и тренажёрным залом.","От 470 250 €","Эстепона, Azata Golf","От,470 250 €","LEARN_MORE","https://nuevaliving.com/ru/property-azata-golf-townhouses.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ru-estepona&utm_content=azata-golf-townhouses"
"azata-golf-townhouses","ar","سبعة وثمانون منزلاً متلاصقاً مكتملاً بثلاث غرف نوم بجوار ملعب أزاتا للغولف، لكل منها مرآب خاص، ضمن مجمع مغلق فيه مسبحان وسبا وصالة رياضية.","من 470,250 €","إستيبونا، أزاتا غولف","ابتداءً من,470,250 €","LEARN_MORE","https://nuevaliving.com/ar/property-azata-golf-townhouses.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ar-estepona&utm_content=azata-golf-townhouses"
"azata-golf-townhouses","nl","Zevenentachtig opgeleverde geschakelde woningen met drie slaapkamers naast Azata Golf, elk met een eigen garage, in een besloten complex met twee zwembaden, een spa en een fitnessruimte.","Vanaf € 470.250","Estepona, Azata Golf","Vanaf,€ 470.250","LEARN_MORE","https://nuevaliving.com/nl/property-azata-golf-townhouses.html?utm_source=meta&utm_medium=paid_social&utm_campaign=nl-estepona&utm_content=azata-golf-townhouses"
"azata-golf-townhouses","pl","Osiemdziesiąt siedem ukończonych domów szeregowych z trzema sypialniami przy polu Azata Golf, każdy z prywatnym garażem, w zamkniętym osiedlu z dwoma basenami, spa i siłownią.","Od 470 250 €","Estepona, Azata Golf","Od,470 250 €","LEARN_MORE","https://nuevaliving.com/pl/property-azata-golf-townhouses.html?utm_source=meta&utm_medium=paid_social&utm_campaign=pl-estepona&utm_content=azata-golf-townhouses"
"azata-golf-townhouses","no","Åttisju ferdigstilte rekkehus med tre soverom ved siden av Azata Golf, hvert med privat garasje, i et lukket anlegg med to bassenger, spa og treningsrom.","Fra 470 250 €","Estepona, Azata Golf","Fra,470 250 €","LEARN_MORE","https://nuevaliving.com/no/property-azata-golf-townhouses.html?utm_source=meta&utm_medium=paid_social&utm_campaign=no-estepona&utm_content=azata-golf-townhouses"
"azata-golf-townhouses","sv","Åttiosju färdigställda radhus med tre sovrum intill Azata Golf, vart och ett med privat garage, i ett grindat område med två pooler, spa och gym.","Från 470 250 €","Estepona, Azata Golf","Från,470 250 €","LEARN_MORE","https://nuevaliving.com/sv/property-azata-golf-townhouses.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sv-estepona&utm_content=azata-golf-townhouses"
"bahia-serena-residences","en","A boutique collection of 25 apartments across four buildings in Bahía Dorada, Estepona, a short walk from Arroyo Vaquero beach.","From EUR 350,000","Estepona, Estepona","From,EUR 350,000","LEARN_MORE","https://nuevaliving.com/property-bahia-serena-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=en-estepona&utm_content=bahia-serena-residences"
"bahia-serena-residences","es","Una colección boutique de 25 apartamentos repartidos en cuatro edificios en Bahía Dorada, Estepona, a pocos pasos de la playa de Arroyo Vaquero.","Desde 350.000 €","Estepona, Estepona","Desde,350.000 €","LEARN_MORE","https://nuevaliving.com/es/property-bahia-serena-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=es-estepona&utm_content=bahia-serena-residences"
"bahia-serena-residences","fr","Une collection boutique de 25 appartements répartis dans quatre bâtiments à Bahía Dorada, Estepona, à quelques pas de la plage d'Arroyo Vaquero.","À partir de 350 000 €","Estepona, Estepona","À partir de,350 000 €","LEARN_MORE","https://nuevaliving.com/fr/property-bahia-serena-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=fr-estepona&utm_content=bahia-serena-residences"
"bahia-serena-residences","de","Eine Boutique-Kollektion von 25 Wohnungen in vier Gebäuden in Bahía Dorada, Estepona, wenige Gehminuten vom Strand Arroyo Vaquero.","Ab 350.000 €","Estepona, Estepona","Ab,350.000 €","LEARN_MORE","https://nuevaliving.com/de/property-bahia-serena-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=de-estepona&utm_content=bahia-serena-residences"
"bahia-serena-residences","ru","Бутик-коллекция из 25 апартаментов в четырёх зданиях в Баия-Дорада, Эстепона, в нескольких минутах ходьбы от пляжа Арройо-Вакеро.","От 350 000 €","Estepona, Эстепона","От,350 000 €","LEARN_MORE","https://nuevaliving.com/ru/property-bahia-serena-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ru-estepona&utm_content=bahia-serena-residences"
"bahia-serena-residences","ar","مجموعة بوتيكية من 25 شقة موزعة على أربعة مبانٍ في باهيا دورادا، إستيبونا، على بعد دقائق سيراً من شاطئ أرويو باكيرو.","ابتداءً من 350,000 €","Estepona، إستيبونا","ابتداءً من,350,000 €","LEARN_MORE","https://nuevaliving.com/ar/property-bahia-serena-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ar-estepona&utm_content=bahia-serena-residences"
"bahia-serena-residences","nl","Een boetiekcomplex van 25 appartementen in vier gebouwen in Bahía Dorada, Estepona, op korte loopafstand van het strand van Arroyo Vaquero.","Vanaf € 350.000","Estepona, Estepona","From,EUR 350,000","LEARN_MORE","https://nuevaliving.com/nl/property-bahia-serena-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=nl-estepona&utm_content=bahia-serena-residences"
"bahia-serena-residences","pl","Butikowy zespół 25 apartamentów w czterech budynkach w Bahía Dorada, Estepona, w krótkiej odległości pieszo od plaży Arroyo Vaquero.","Od 350 000 €","Estepona, Estepona","From,EUR 350,000","LEARN_MORE","https://nuevaliving.com/pl/property-bahia-serena-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=pl-estepona&utm_content=bahia-serena-residences"
"bahia-serena-residences","no","Et boutiqueanlegg med 25 leiligheter fordelt på fire bygninger i Bahía Dorada, Estepona, kort gangavstand fra Arroyo Vaquero-stranden.","Fra 350 000 €","Estepona, Estepona","From,EUR 350,000","LEARN_MORE","https://nuevaliving.com/no/property-bahia-serena-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=no-estepona&utm_content=bahia-serena-residences"
"bahia-serena-residences","sv","En boutiquesamling om 25 lägenheter i fyra byggnader i Bahía Dorada, Estepona, en kort promenad från Arroyo Vaquero-stranden.","Från 350 000 €","Estepona, Estepona","From,EUR 350,000","LEARN_MORE","https://nuevaliving.com/sv/property-bahia-serena-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sv-estepona&utm_content=bahia-serena-residences"
"bel-air-villa-collection","en","15 independent 4-bedroom villas in Bel Air on the New Golden Mile, each with a private pool, pool bar and almost six-metre living room ceilings.","From €2,400,000 + VAT","New Golden Mile, Bel Air","From,€2,400,000 + VAT","LEARN_MORE","https://nuevaliving.com/property-bel-air-villa-collection.html?utm_source=meta&utm_medium=paid_social&utm_campaign=en-estepona&utm_content=bel-air-villa-collection"
"bel-air-villa-collection","es","15 villas independientes de 4 dormitorios en Bel Air, en la Nueva Milla de Oro, cada una con piscina privada, chiringuito y salón con techos de casi seis metros.","Desde 2.400.000 € + IVA","Nueva Milla de Oro, Bel Air","Desde,2.400.000 € + IVA","LEARN_MORE","https://nuevaliving.com/es/property-bel-air-villa-collection.html?utm_source=meta&utm_medium=paid_social&utm_campaign=es-estepona&utm_content=bel-air-villa-collection"
"bel-air-villa-collection","fr","15 villas indépendantes de 4 chambres à Bel Air, sur la New Golden Mile, chacune avec piscine privée, pool bar et un séjour aux plafonds de près de six mètres.","À partir de 2 400 000 € + TVA","New Golden Mile, Bel Air","À partir de,2 400 000 € + TVA","LEARN_MORE","https://nuevaliving.com/fr/property-bel-air-villa-collection.html?utm_source=meta&utm_medium=paid_social&utm_campaign=fr-estepona&utm_content=bel-air-villa-collection"
"bel-air-villa-collection","de","15 freistehende Villen mit vier Schlafzimmern in Bel Air an der New Golden Mile, jeweils mit privatem Pool, Poolbar und einem Wohnraum mit fast sechs Metern Deckenhöhe.","Ab 2.400.000 € zzgl. MwSt.","New Golden Mile, Bel Air","Ab,2.400.000 € zzgl. MwSt.","LEARN_MORE","https://nuevaliving.com/de/property-bel-air-villa-collection.html?utm_source=meta&utm_medium=paid_social&utm_campaign=de-estepona&utm_content=bel-air-villa-collection"
"bel-air-villa-collection","ru","15 отдельно стоящих вилл с четырьмя спальнями в Bel Air на Новой Золотой миле, каждая с частным бассейном, пул-баром и гостиной высотой почти шесть метров.","От 2 400 000 € + НДС","Новая Золотая миля, Bel Air","От,2 400 000 € + НДС","LEARN_MORE","https://nuevaliving.com/ru/property-bel-air-villa-collection.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ru-estepona&utm_content=bel-air-villa-collection"
"bel-air-villa-collection","ar","15 فيلا مستقلة بأربع غرف نوم في Bel Air على الميل الذهبي الجديد، لكل منها مسبح خاص وبار للمسبح وغرفة معيشة بارتفاع يقارب ستة أمتار.","ابتداءً من 2,400,000 € + ضريبة","الميل الذهبي الجديد، Bel Air","ابتداءً من,2,400,000 € + ضريبة","LEARN_MORE","https://nuevaliving.com/ar/property-bel-air-villa-collection.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ar-estepona&utm_content=bel-air-villa-collection"
"bel-air-villa-collection","nl","15 vrijstaande villa's met 4 slaapkamers in Bel Air, aan de New Golden Mile, elk met privézwembad, pool bar en een woonkamer met een plafondhoogte van bijna zes meter.","Vanaf € 2.400.000 + btw","New Golden Mile, Bel Air","Vanaf,€ 2.400.000 + btw","LEARN_MORE","https://nuevaliving.com/nl/property-bel-air-villa-collection.html?utm_source=meta&utm_medium=paid_social&utm_campaign=nl-estepona&utm_content=bel-air-villa-collection"
"bel-air-villa-collection","pl","15 wolnostojących willi z 4 sypialniami w Bel Air, na New Golden Mile, każda z prywatnym basenem, pool barem i salonem o wysokości sufitu niemal sześciu metrów.","Od 2 400 000 € + VAT","New Golden Mile, Bel Air","Od,2 400 000 € + VAT","LEARN_MORE","https://nuevaliving.com/pl/property-bel-air-villa-collection.html?utm_source=meta&utm_medium=paid_social&utm_campaign=pl-estepona&utm_content=bel-air-villa-collection"
"bel-air-villa-collection","no","15 frittstående villaer med 4 soverom i Bel Air, på New Golden Mile, hver med privat basseng, pool bar og en stue med nesten seks meter takhøyde.","Fra 2 400 000 € + mva","New Golden Mile, Bel Air","Fra,2 400 000 € + mva","LEARN_MORE","https://nuevaliving.com/no/property-bel-air-villa-collection.html?utm_source=meta&utm_medium=paid_social&utm_campaign=no-estepona&utm_content=bel-air-villa-collection"
"bel-air-villa-collection","sv","15 fristående villor med 4 sovrum i Bel Air, på New Golden Mile, var och en med privat pool, pool bar och ett vardagsrum med nästan sex meter i takhöjd.","Från 2 400 000 € + moms","New Golden Mile, Bel Air","Från,2 400 000 € + moms","LEARN_MORE","https://nuevaliving.com/sv/property-bel-air-villa-collection.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sv-estepona&utm_content=bel-air-villa-collection"
"buenas-noches-garden-residences","en","Thirty-one apartments and penthouses on the western edge of Estepona, from two-bedroom homes with their own garden to top-floor homes with a roof solarium.","From EUR 515,000","Apartments & Penthouses, Buenas Noches","2-3 bedrooms","LEARN_MORE","https://nuevaliving.com/property-buenas-noches-garden-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=en-estepona&utm_content=buenas-noches-garden-residences"
"buenas-noches-garden-residences","es","Treinta y un apartamentos y áticos en el extremo oeste de Estepona, desde viviendas de dos dormitorios con jardín propio hasta viviendas de última planta con solárium.","Desde 515.000 €","Apartamentos y áticos, Buenas Noches","2-3 dormitorios","LEARN_MORE","https://nuevaliving.com/es/property-buenas-noches-garden-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=es-estepona&utm_content=buenas-noches-garden-residences"
"buenas-noches-garden-residences","fr","Trente et un appartements et penthouses à l’extrémité ouest d’Estepona, du deux-chambres avec jardin privatif aux logements de dernier étage avec solarium.","À partir de 515 000 €","Buenas Noches","2-3 chambres","LEARN_MORE","https://nuevaliving.com/fr/property-buenas-noches-garden-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=fr-estepona&utm_content=buenas-noches-garden-residences"
"buenas-noches-garden-residences","de","Einunddreißig Wohnungen und Penthäuser am Westrand von Estepona, von der Zweizimmerwohnung mit eigenem Garten bis zu den Dachgeschosswohnungen mit Solarium.","Ab 515.000 €","Wohnungen & Penthäuser, Buenas Noches","2-3 Schlafzimmer","LEARN_MORE","https://nuevaliving.com/de/property-buenas-noches-garden-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=de-estepona&utm_content=buenas-noches-garden-residences"
"buenas-noches-garden-residences","ru","Тридцать одна квартира и пентхаус на западной окраине Эстепоны — от двухспальных с собственным садом до квартир верхнего этажа с солярием.","От 515 000 €","Апартаменты и пентхаусы, Буэнас-Ночес","2-3 спальни","LEARN_MORE","https://nuevaliving.com/ru/property-buenas-noches-garden-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ru-estepona&utm_content=buenas-noches-garden-residences"
"buenas-noches-garden-residences","ar","إحدى وثلاثون شقة وبنتهاوس في الطرف الغربي من إستيبونا، من مساكن بغرفتَي نوم وحديقة خاصة إلى مساكن الطابق العلوي بسولاريوم.","ابتداءً من 515,000 €","شقق وبنتهاوس، بويناس نوتشيس","2-3 غرف نوم","LEARN_MORE","https://nuevaliving.com/ar/property-buenas-noches-garden-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ar-estepona&utm_content=buenas-noches-garden-residences"
"buenas-noches-garden-residences","nl","Eenendertig appartementen en penthouses aan de westrand van Estepona, van woningen met twee slaapkamers en een eigen tuin tot woningen op de bovenste laag met dakterras.","Vanaf € 515.000","Buenas Noches","2-3 slaapkamers","LEARN_MORE","https://nuevaliving.com/nl/property-buenas-noches-garden-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=nl-estepona&utm_content=buenas-noches-garden-residences"
"buenas-noches-garden-residences","pl","Trzydzieści jeden mieszkań i penthouse’ów na zachodnim krańcu Estepony, od dwupokojowych z własnym ogrodem po mieszkania na ostatniej kondygnacji z solarium.","Od 515 000 €","Apartamenty i penthouse'y, Buenas Noches","2-3 sypialnie","LEARN_MORE","https://nuevaliving.com/pl/property-buenas-noches-garden-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=pl-estepona&utm_content=buenas-noches-garden-residences"
